plant,part,parasite,group,concentration_mgml,tti,mot120,mean_motile,n_na,tti_censored,block
A. indica,leaves,T. congolense,0.005mg/ml,0.005,75,0,0.5555555555555556,0,FALSE,A. indica | leaves | T. congolense
A. indica,leaves,T. congolense,0.01mg/ml,0.01,90,0,0.6666666666666666,0,FALSE,A. indica | leaves | T. congolense
A. indica,leaves,T. congolense,0.5mg/ml,0.5,60,0,0.4444444444444444,0,FALSE,A. indica | leaves | T. congolense
A. indica,leaves,T. congolense,100mg/ml,100,30,0,0.2222222222222222,0,FALSE,A. indica | leaves | T. congolense
A. indica,leaves,T. congolense,10mg/ml,10,30,0,0.2222222222222222,0,FALSE,A. indica | leaves | T. congolense
A. indica,leaves,T. congolense,Negative Control,NA,NA,1,1,0,TRUE,A. indica | leaves | T. congolense
A. indica,leaves,T. congolense,Positive Control,NA,15,0,0.1111111111111111,0,FALSE,A. indica | leaves | T. congolense
A. indica,leaves,T. evansi,0.005mg/ml,0.005,105,0,0.7777777777777778,0,FALSE,A. indica | leaves | T. evansi
A. indica,leaves,T. evansi,0.01mg/ml,0.01,90,0,0.6666666666666666,0,FALSE,A. indica | leaves | T. evansi
A. indica,leaves,T. evansi,0.5mg/ml,0.5,60,0,0.4444444444444444,0,FALSE,A. indica | leaves | T. evansi
A. indica,leaves,T. evansi,100mg/ml,100,15,0,0.1111111111111111,0,FALSE,A. indica | leaves | T. evansi
A. indica,leaves,T. evansi,10mg/ml,10,15,0,0.1111111111111111,0,FALSE,A. indica | leaves | T. evansi
A. indica,leaves,T. evansi,Negative Control,NA,NA,1,1,0,TRUE,A. indica | leaves | T. evansi
A. indica,leaves,T. evansi,Positive Control,NA,15,0,0.1111111111111111,0,FALSE,A. indica | leaves | T. evansi
A. indica,roots,T. congolense,0.005mg/ml,0.005,NA,1,1,0,TRUE,A. indica | roots | T. congolense
A. indica,roots,T. congolense,0.01mg/ml,0.01,NA,1,1,0,TRUE,A. indica | roots | T. congolense
A. indica,roots,T. congolense,0.5mg/ml,0.5,NA,1,1,0,TRUE,A. indica | roots | T. congolense
A. indica,roots,T. congolense,100mg/ml,100,15,0,0.1111111111111111,0,FALSE,A. indica | roots | T. congolense
A. indica,roots,T. congolense,10mg/ml,10,120,0,0.8888888888888888,0,FALSE,A. indica | roots | T. congolense
A. indica,roots,T. congolense,Negative Control,NA,NA,1,1,0,TRUE,A. indica | roots | T. congolense
A. indica,roots,T. congolense,Positive Control,NA,15,0,0.1111111111111111,0,FALSE,A. indica | roots | T. congolense
A. indica,roots,T. evansi,0.005mg/ml,0.005,90,0,0.6666666666666666,0,FALSE,A. indica | roots | T. evansi
A. indica,roots,T. evansi,0.01mg/ml,0.01,75,0,0.5555555555555556,0,FALSE,A. indica | roots | T. evansi
A. indica,roots,T. evansi,0.5mg/ml,0.5,30,0,0.2222222222222222,0,FALSE,A. indica | roots | T. evansi
A. indica,roots,T. evansi,100mg/ml,100,15,0,0.1111111111111111,0,FALSE,A. indica | roots | T. evansi
A. indica,roots,T. evansi,10mg/ml,10,15,0,0.1111111111111111,0,FALSE,A. indica | roots | T. evansi
A. indica,roots,T. evansi,Negative Control,NA,NA,1,1,0,TRUE,A. indica | roots | T. evansi
A. indica,roots,T. evansi,Positive Control,NA,15,0,0.1111111111111111,0,FALSE,A. indica | roots | T. evansi
A. indica,seeds,T. congolense,0.005mg/ml,0.005,NA,1,1,0,TRUE,A. indica | seeds | T. congolense
A. indica,seeds,T. congolense,0.01mg/ml,0.01,NA,1,1,0,TRUE,A. indica | seeds | T. congolense
A. indica,seeds,T. congolense,0.5mg/ml,0.5,105,0,0.7777777777777778,0,FALSE,A. indica | seeds | T. congolense
A. indica,seeds,T. congolense,100mg/ml,100,15,0,0.1111111111111111,0,FALSE,A. indica | seeds | T. congolense
A. indica,seeds,T. congolense,10mg/ml,10,105,0,0.7777777777777778,0,FALSE,A. indica | seeds | T. congolense
A. indica,seeds,T. congolense,Negative Control,NA,105,0,0.7777777777777778,0,FALSE,A. indica | seeds | T. congolense
A. indica,seeds,T. congolense,Positive Control,NA,15,0,0.1111111111111111,0,FALSE,A. indica | seeds | T. congolense
A. indica,seeds,T. evansi,0.005mg/ml,0.005,NA,1,1,0,TRUE,A. indica | seeds | T. evansi
A. indica,seeds,T. evansi,0.01mg/ml,0.01,NA,1,1,0,TRUE,A. indica | seeds | T. evansi
A. indica,seeds,T. evansi,0.5mg/ml,0.5,NA,1,1,0,TRUE,A. indica | seeds | T. evansi
A. indica,seeds,T. evansi,100mg/ml,100,15,0,0.1111111111111111,0,FALSE,A. indica | seeds | T. evansi
A. indica,seeds,T. evansi,10mg/ml,10,45,0,0.3333333333333333,0,FALSE,A. indica | seeds | T. evansi
A. indica,seeds,T. evansi,Negative Control,NA,NA,1,1,0,TRUE,A. indica | seeds | T. evansi
A. indica,seeds,T. evansi,Positive Control,NA,15,0,0.1111111111111111,0,FALSE,A. indica | seeds | T. evansi
A. indica,stem bark,T. congolense,0.005mg/ml,0.005,105,0,0.7777777777777778,0,FALSE,A. indica | stem bark | T. congolense
A. indica,stem bark,T. congolense,0.01mg/ml,0.01,15,0,0.1111111111111111,0,FALSE,A. indica | stem bark | T. congolense
